Conference,Year,Authors,Title,Proceedings,PlaceTime,CategoryID,Category,PDF,Slides,Bibtex,Order
HAICTA,2017,"S. Burgstaller, W. Angermair, F. Niggemann, S. Migdall, H. Bach, I. Vlahopoulos, D. Savva, P. Smeros, G. Stamoulis, K. Bereta, M. Koubarakis.",LEOpatra: A Mobile Application for Smart Fertilization Based on Linked Data.,"In the 8th International Conference on Information and Communication Technologies in Agriculture, Food & Environment (HAICTA 2017).","Chania, Greece. 21-24 September, 2017.",4,Demo/Poster,files/haicta2017.pdf,,,
LDOW,2016,"P. Smeros, M. Koubarakis.",Discovering Spatial and Temporal Links among RDF Data.,In the 9th Workshop on Linked Data on the Web (LDOW 2016).,"Montreal, Canada. 11 April, 2016.",2,Workshop Paper,files/ldow2016.pdf,files/ldow2016.pptx,,2
GRSM,2016,"M. Koubarakis, K. Kyzirakos, C. Nikolaou, G. Garbis, K. Bereta, R. Dogani, S. Giannakopoulou, P. Smeros, D. Savva, G. Stamoulis, G. Vlachopoulos, S. Manegold, C. Kontoes, T. Herekakis, I. Papoutsis, D. Michail.","Managing Big, Linked, and Open Earth-Observation Data Using the TELEIOS/LEO software stack.",In the 2016 IEEE Geoscience and Remote Sensing Magazine (GRSM 2016).,September 2016.,3,Journal Paper,files/grsm2016.pdf,,,
BIDS,2014,"M. Koubarakis, P. Smeros, C. Nikolaou, G. Garbis, K. Bereta, S. Giannakopoulou, K. Dogani, M. Karpathiotaki, I. Vlachopoulos, D. Savva, G. Stamoulis, K. Kyzirakos, S. Manegold, B. Valentin, H. Bach, F. Niggemann, P. Klug, W. Angermair, S. Burgstaller.",Linked Open Data in the Earth Observation Domain: the Vision of Project LEO.,In the 2014 Conference on Big Data from Space (BIDS 2014).,"ESA-ESRIN, Frascati, Italy. 12-14 November, 2014.",1,Conference Paper,files/bids2014.pdf,,,
ESA-EUSC-JRC,2014,"C. Nikolaou, K. Kyzirakos, K. Bereta, K. Dogani, S. Giannakopoulou, P. Smeros, G. Garbis, M. Koubarakis, D. E. Molina, O. C. Dumitru, G. Schwarz, M. Datcu.",Improving Knowledge Discovery from Synthetic Aperture Radar Images using the Linked Open Data Cloud and Sextant.,In the Image Information Mining Conference: The Sentinels Era (ESA-EUSC-JRC 2014).,"Bucharest, Romania. 5-7 March, 2014.",1,Conference Paper,files/iim2014.pdf,,,
LGD,2014,"M. Koubarakis, K. Kyzirakos, C. Nikolaou, G. Garbis, K. Bereta, P. Smeros, S. Gianakopoulou, K. Dogani, M. Karpathiotaki, I. Vlachopoulos.",Linked Earth Observation Data: The Projects TELEIOS and LEO.,In the Linking Geospatial Data Conference (LGD 2014).,"London, United Kingdom. 5-6 March, 2014.",1,Conference Paper,files/lgd2014.pdf,,,
RR,2014,"M. Koubarakis, C. Nikolaou, G. Garbis, K. Bereta, P. Smeros, S. Gianakopoulou, K. Dogani, M. Karpathiotaki, I. Vlachopoulos, D. Savva, K. Kyzirakos, S. Manegold, B. Valentin, N. James, H. Bach, F. Niggemann, P. Klug, W. Angermair, S. Burgstaller.",Linked Open Data in the Earth Observation Domain: the Vision of Project LEO.,In the 8th International Conference on Web Reasoning and Rule Systems (RR 2014).,"Athens, Greece. 15-17 September, 2014.",4,Demo/Poster,files/rr2014.pdf,,,
ESWC,2014,"C. Nikolaou, K. Kyzirakos, K. Bereta, K. Dogani, S. Giannakopoulou, P. Smeros, G. Garbis, M. Koubarakis, D. E. Molina, O. C. Dumitru, G. Schwarz, M. Datcu.","Big, Linked and Open Data: Applications in the German Aerospace Center.",In the 11th Extended Semantic Web Conference (ESWC 2014).,"Crete, Greece. 25-29 May, 2014.",4,Demo/Poster,files/eswc2014.pdf,,,
ESWC,2013,"K. Bereta, P. Smeros, M. Koubarakis.",Representing and Querying the Valid Time of Triples for Linked Geospatial Data.,In the 10th Extended Semantic Web Conference (ESWC 2013).,"Montpellier, France. 26-30 May, 2013.",1,Conference Paper,files/eswc2013.pdf,,,1
EDBT,2013,"M. Koubarakis, C. Kontoes, S. Manegold, M. Karpathiotakis, K. Kyzirakos, K. Bereta, G. Garbis, C. Nikolaou, D. Michail, I. Papoutsis, T. Herekakis, M. Ivanova, Y. Zhang, H. Pirk, M. Kersten, K. Dogani, S. Giannakopoulou, P. Smeros.",Real-Time Wildfire Monitoring Using Scientific Database and Linked Data Technologies.,In the 16th International Conference on Extending Database Technology (EDBT 2013).,"Genoa, Italy. 18-22 March, 2013.",1,Conference Paper,files/edbt2013.pdf,,,
Know@LOD,2013,"I. Horrocks, T. Hubauer, E. Jiménez-Ruiz, E. Kharlamov, M. Koubarakis, R. Möller, K. Bereta, C. Neuenstadt, Ö. Özçep, M. Roshchin, P. Smeros, D. Zheleznyakov.",Addressing Streaming and Historical Data in OBDA Systems: Optique's Approach (Statement of Interest).,In the Knowledge Discovery and Data Mining Meets Linked Open Data Workshop (Know@LOD 2013).,"Montpellier, France. 26-30 May, 2013.",2,Workshop Paper,files/knowlod2013.pdf,,,
SSTD,2013,"K. Kyzirakos, M. Karpathiotakis, K. Bereta, G. Garbis, C. Nikolaou, P. Smeros, S. Giannakopoulou, K. Dogani, M. Koubarakis.", The Spatiotemporal RDF Store Strabon.,In the 13th International Symposium on Spatial and Temporal Databases (SSTD 2013).,"Munich, Germany. 21-23 August, 2013.",4,Demo/Poster,files/sstd2013.pdf,,,
